"id","value"
"TemporaryArchitecture.regeneration.performance&venue",""
"TemporaryArchitecture.regeneration.performance&venue.Events&Village","272"
"TemporaryArchitecture.regeneration.performance&venue.Outdoormusicroom","302"
"TemporaryArchitecture.regeneration.performance&venue.pallet&pavillion","52"
"TemporaryArchitecture.regeneration.performance&venue.Scaffold&Pav","324"
"TemporaryArchitecture.regeneration.performance&venue.Urban&Poetry","182"
"TemporaryArchitecture.regeneration.planning",""
"TemporaryArchitecture.regeneration.planning.The&frame","136"
"TemporaryArchitecture.regeneration.public&game",""
"TemporaryArchitecture.regeneration.public&game.500&Days&Churchill&park","212"
"TemporaryArchitecture.regeneration.public&game.Christchurch_A&boardgame","214"
"TemporaryArchitecture.regeneration.public&game.Community&Chess","172"
"TemporaryArchitecture.regeneration.public&game.Foamapalooza","216"
"TemporaryArchitecture.regeneration.public&game.LPC","168"
"TemporaryArchitecture.regeneration.public&space&improvement",""
"TemporaryArchitecture.regeneration.public&space&improvement.Arcades&Project","152"
"TemporaryArchitecture.regeneration.public&space&improvement.busExchangeSeats","294"
"TemporaryArchitecture.regeneration.public&space&improvement.CCC_TemporaryFurniture","268"
"TemporaryArchitecture.regeneration.public&space&improvement.colombo&street&","44"
"TemporaryArchitecture.regeneration.public&space&improvement.GapFiller_Kaiapoi","190"
"TemporaryArchitecture.regeneration.public&space&improvement.temporary&bus&exchange","46"
"TemporaryArchitecture.regeneration.public&space&improvement.temporary&oxford&street",""
"TemporaryArchitecture.regeneration.retail",""
"TemporaryArchitecture.regeneration.retail.DairyGarden","298"
"TemporaryArchitecture.regeneration.retail.PikoPopUpShop","296"
"TemporaryArchitecture.regeneration.retail.Restart","10"
"TemporaryArchitecture.regeneration.sports",""
"TemporaryArchitecture.regeneration.sports.BMX_Track","206"
"TemporaryArchitecture.regeneration.sports.GapGolf","180"
"TemporaryArchitecture.regeneration.sports.Lyttelton&Downhill","364"
"TemporaryArchitecture.regeneration.sports.Street&Football","208"
"TemporaryArchitecture.regeneration.sports.Sumner&Skate&Park","202"
"TemporaryArchitecture.regeneration.street&art",""
"TemporaryArchitecture.regeneration.street&art.Brighton&Up","120"
"TemporaryArchitecture.regeneration.street&art.Mural&Madness","118"
"TemporaryArchitecture.regeneration.theatreSLASHperformance",""
"TemporaryArchitecture.regeneration.theatreSLASHperformance.Social&Soup","330"
"TemporaryArchitecture.regeneration.toilets",""
"TemporaryArchitecture.regeneration.toilets.portaloos","58"
"TemporaryArchitecture.arts.dance",""
